base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,Competitive,Cooperative,8bit_vector,4bit_orig,norm,norm_desc,variant_id,Emotion_Leniency,DNF,DNF_literals
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,40.852,0.02,0.0,0.06,0.92,0.08,0.92,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,34.435,0.08,0.12,0.04,0.76,0.76,0.24,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,25.849,0.0,0.02,0.02,0.96,0.04,0.96,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,34.022,0.32,0.68,0.0,0.0,0.68,0.32,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,35.261,0.76,0.24,0.0,0.0,1.0,0.0,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,24.228,0.74,0.24,0.02,0.0,0.74,0.26,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,39.649,0.7,0.28,0.0,0.02,0.3,0.7,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,34.131,0.18,0.4,0.02,0.4,0.56,0.44,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,30.577,0.46,0.36,0.0,0.18,0.36,0.64,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,32.194,0.3,0.68,0.02,0.0,0.7,0.3,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,30.578,0.58,0.36,0.02,0.04,0.06,0.94,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,35.921,0.44,0.5,0.04,0.02,0.94,0.06,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,28.943,0.0,0.02,0.02,0.96,0.96,0.04,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,25.0,0.0,0.06,0.0,0.94,0.94,0.06,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,20.055,0.22,0.4,0.0,0.38,0.6,0.4,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,19.408,0.0,0.04,0.0,0.96,0.04,0.96,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,26.245,0.06,0.0,0.06,0.88,0.88,0.12,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,28.023,0.04,0.32,0.32,0.32,0.62,0.38,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,24.665,0.54,0.36,0.0,0.1,0.86,0.14,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,34.976,0.24,0.66,0.1,0.0,0.98,0.02,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,18.397,0.0,0.14,0.02,0.84,0.84,0.16,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,35.498,0.06,0.04,0.02,0.88,0.12,0.88,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
