base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,Competitive,Cooperative,8bit_vector,4bit_orig,norm,norm_desc,variant_id,Emotion_Leniency,DNF,DNF_literals 
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,34.595,0.0,0.02,0.0,0.98,0.98,0.02,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,28.83,0.0,0.2,0.0,0.8,0.8,0.2,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,31.641,0.0,0.16,0.06,0.78,0.78,0.22,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,42.005,0.0,0.0,0.0,1.0,1.0,0.0,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,32.394,0.0,0.46,0.08,0.46,0.46,0.54,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,32.27,0.58,0.38,0.0,0.04,0.58,0.42,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,30.993,0.88,0.06,0.06,0.0,0.12,0.88,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,36.198,0.44,0.28,0.1,0.18,0.42,0.58,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,36.108,0.4,0.52,0.06,0.02,0.18,0.82,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,27.955,0.0,0.88,0.12,0.0,0.76,0.24,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,20.463,0.04,0.02,0.0,0.94,0.76,0.24,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,29.257,0.0,0.18,0.08,0.74,0.74,0.26,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,36.236,0.0,0.24,0.0,0.76,0.76,0.24,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,37.336,0.04,0.08,0.0,0.88,0.9,0.1,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,50.926,0.04,0.2,0.0,0.76,0.24,0.76,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,18.318,0.08,0.08,0.0,0.84,0.14,0.86,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,32.959,0.1,0.38,0.28,0.24,0.38,0.62,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,32.098,0.14,0.5,0.0,0.36,0.6,0.4,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,42.657,0.56,0.32,0.08,0.04,0.64,0.36,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,37.856,0.82,0.06,0.06,0.06,0.16,0.84,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,33.653,0.02,0.36,0.08,0.54,0.56,0.44,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,42.677,0.36,0.62,0.02,0.0,0.62,0.38,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,39.842,0.64,0.36,0.0,0.0,0.0,1.0,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,35.772,0.58,0.42,0.0,0.0,0.26,0.74,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,33.07,0.0,0.42,0.58,0.0,0.66,0.34,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,34.867,0.64,0.34,0.02,0.0,0.66,0.34,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,26.254,0.0,0.24,0.0,0.76,0.76,0.24,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,44.295,0.66,0.26,0.02,0.06,0.28,0.72,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.4,43.586,0.02,0.1,0.1,0.78,0.22,0.78,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,31.592,0.02,0.06,0.0,0.92,0.92,0.08,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,48.302,0.06,0.1,0.0,0.84,0.84,0.16,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,44.891,0.32,0.38,0.22,0.08,0.48,0.52,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,43.768,0.48,0.52,0.0,0.0,0.48,0.52,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,30.357,0.04,0.02,0.06,0.88,0.12,0.88,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,40.024,0.02,0.24,0.2,0.54,0.6,0.4,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,37.038,0.02,0.06,0.02,0.9,0.9,0.1,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,24.405,0.02,0.94,0.04,0.0,0.06,0.94,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,37.618,0.64,0.3,0.06,0.0,0.06,0.94,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,32.82,0.22,0.76,0.02,0.0,0.24,0.76,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,46.22,0.32,0.68,0.0,0.0,0.32,0.68,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,50.687,0.0,0.0,0.06,0.94,0.12,0.88,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,33.411,0.38,0.16,0.0,0.46,0.58,0.42,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,15.288,0.68,0.28,0.02,0.02,0.08,0.92,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,31.015,0.0,0.02,0.02,0.96,0.96,0.04,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,24.968,0.0,0.1,0.0,0.9,0.9,0.1,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,42.905,0.5,0.46,0.02,0.02,0.5,0.5,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,20.14,0.32,0.32,0.0,0.36,0.4,0.6,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,25.862,0.32,0.48,0.08,0.12,0.26,0.74,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,45.766,0.1,0.88,0.0,0.02,0.12,0.88,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,42.923,0.0,0.26,0.0,0.74,0.26,0.74,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,44.999,0.0,0.02,0.0,0.98,0.98,0.02,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,35.735,0.0,0.0,0.02,0.98,0.02,0.98,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,49.336,0.0,0.1,0.0,0.9,0.9,0.1,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,31.778,0.46,0.52,0.0,0.02,0.52,0.48,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,31.23,0.02,0.0,0.0,0.98,0.02,0.98,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,42.186,0.54,0.44,0.02,0.0,0.44,0.56,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,26.742,0.0,0.0,0.0,1.0,1.0,0.0,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,32.861,0.06,0.54,0.24,0.16,0.32,0.68,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,30.925,0.0,0.06,0.02,0.92,0.92,0.08,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,41.182,0.02,0.16,0.06,0.76,0.76,0.24,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,42.935,0.02,0.04,0.08,0.86,0.88,0.12,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,61.068,0.0,0.02,0.0,0.98,0.4,0.6,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,45.127,0.0,0.02,0.02,0.96,0.96,0.04,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,33.985,0.0,0.0,0.02,0.98,0.78,0.22,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,35.744,0.6,0.36,0.04,0.0,0.92,0.08,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,18.564,0.0,0.16,0.0,0.84,0.84,0.16,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,45.61,0.04,0.64,0.32,0.0,0.06,0.94,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,27.172,0.14,0.36,0.04,0.46,0.4,0.6,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,29.279,0.48,0.52,0.0,0.0,0.0,1.0,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,22.192,0.4,0.6,0.0,0.0,0.1,0.9,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,37.855,0.06,0.12,0.02,0.8,0.2,0.8,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,38.578,0.08,0.18,0.0,0.74,0.22,0.78,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,27.833,0.52,0.48,0.0,0.0,0.02,0.98,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(0, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.5,42.923,0.64,0.34,0.0,0.02,0.36,0.64,00000111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0.75,(A & E) | (A & R),4
