(1,1,0,0,0,0,1,1)	(1,0,0,1)	40	4000	0.1	0.1	0.1	0.5	True	64.5629070855657	0.475	0.525	1.0	0.0	0.0	0.0	0.0	1.0	
(1,1,0,1,0,1,1,1)	(1,0,0,1)	40	4000	0.1	0.1	0.1	0.5	True	76.79689365003581	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
(1,1,1,0,1,0,1,1)	(1,0,0,1)	40	4000	0.1	0.1	0.1	0.5	True	85.06498982399276	0.45	0.55	1.0	0.0	0.0	0.0	0.0	1.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	96.13743107102322	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.25	True	99.37897639654211	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	71.60953954471725	1.0	0.0	0.0	0.0	0.98	0.02	0.02	0.98	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	50.044857432785435	0.52	0.48	1.0	0.0	0.0	0.0	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	32.01672559971069	0.28	0.72	0.98	0.02	0.0	0.0	0.98	0.02	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	88.56013419515551	0.44	0.56	1.0	0.0	0.0	0.0	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	79.17366652772407	0.38	0.62	1.0	0.0	0.0	0.0	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	48.32680697172133	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	99.39005585357523	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	93.92337077184276	1.0	0.0	0.0	0.0	0.68	0.32	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	99.35574933194029	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	50.819546794862134	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	89.38748983137661	0.58	0.42	1.0	0.0	0.0	0.0	0.0	1.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	50.90765687707508	0.7	0.3	1.0	0.0	0.0	0.0	0.62	0.38	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	99.36431445233036	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	99.26183085716582	1.0	0.0	0.0	0.0	0.72	0.28	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	99.38560200878845	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	99.29399564086339	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	99.36547124612673	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	81.94613557262029	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	78.41463439132181	0.0	1.0	0.0	0.92	0.0	0.08	0.92	0.08	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	80.97916331819826	0.5	0.5	1.0	0.0	0.0	0.0	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	16.592292624124163	0.54	0.46	1.0	0.0	0.0	0.0	0.04	0.96	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	96.70148736418572	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	86.26584033106995	0.46	0.54	1.0	0.0	0.0	0.0	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	99.29422357284577	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	
(1,1,0,0,0,0,1,1)	(1,0,0,1)	50	4000	0.1	0.1	0.001	0.0	True	99.3951167824196	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
