gamma_center,DNF_literals,mean_coop,sd_coop,n,lower,upper
1.0,2,56.82516,12.028931566308737,1,44.79622843369126,68.85409156630874
1.0,3,36.42222666666667,31.138215766850028,3,5.284010899816639,67.5604424335167
1.0,4,89.34618,9.379630016651065,3,79.96654998334894,98.72581001665107
1.0,5,5.47073,0.6746994071436553,2,4.7960305928563445,6.145429407143655
1.0,6,38.543576,38.29117841736641,5,0.25239758263359136,76.83475441736641
1.0,7,5.43544,0.3345741832264298,1,5.10086581677357,5.770014183226429
1.0,9,5.21608,0.26291776009130424,1,4.953162239908695,5.478997760091304
