gamma_center,DNF_literals,mean_coop,sd_coop,n,lower,upper
0.0,2,56.32539583333334,12.284468863793588,1,44.040926969539754,68.60986469712692
0.0,3,56.20514666666666,14.722170699749842,3,41.48297596691681,70.9273173664165
0.0,4,54.487426666666664,15.830384292565071,3,38.65704237410159,70.31781095923174
0.0,5,54.97227,15.114149306851443,2,39.85812069314856,70.08641930685144
0.0,6,56.04844,15.459861443291887,5,40.588578556708114,71.50830144329188
0.0,7,51.53606,16.784756371949943,1,34.75130362805005,68.32081637194995
0.0,9,56.47612,14.23227310661317,1,42.24384689338683,70.70839310661317
