variant_id,DNF_literals,Emotion_Leniency,gamma_center,is_base,avg_coop,std_coop,DNF,avg_coop_percent,std_coop_percent
ImageScoring_v12,5,0.25,0.9,False,5.67508,0.6202179616876635,(A & E) | (~A & ~E & ~R),5.67508,0.6202179616876635
ImageScoring_v12,5,0.25,1.0,False,5.903239999999999,1.1703313774573525,(A & E) | (~A & ~E & ~R),5.903239999999999,1.1703313774573525
ImageScoring_v13,2,0.5,0.0,False,29.363666666666667,6.488679202015359,A | ~E,29.363666666666667,6.488679202015359
ImageScoring_v13,2,0.5,0.1,False,21.70912,7.1904248423773645,A | ~E,21.70912,7.1904248423773645
ImageScoring_v13,2,0.5,0.2,False,13.784180000000001,7.743940223905953,A | ~E,13.784180000000001,7.743940223905953
ImageScoring_v13,2,0.5,0.3,False,9.721204081632653,5.511018882579668,A | ~E,9.721204081632653,5.511018882579668
ImageScoring_v13,2,0.5,0.4,False,8.13524,5.780315345398111,A | ~E,8.13524,5.780315345398111
ImageScoring_v13,2,0.5,0.5,False,8.662659999999999,6.430356208148461,A | ~E,8.662659999999999,6.430356208148461
ImageScoring_v13,2,0.5,0.6,False,9.24312,5.274324654089346,A | ~E,9.24312,5.274324654089346
ImageScoring_v13,2,0.5,0.7,False,38.533319999999996,9.851822840635396,A | ~E,38.533319999999996,9.851822840635396
ImageScoring_v13,2,0.5,0.8,False,43.00764,5.426924606449,A | ~E,43.00764,5.426924606449
ImageScoring_v13,2,0.5,0.9,False,43.1207,4.128561350704457,A | ~E,43.1207,4.128561350704457
ImageScoring_v13,2,0.5,1.0,False,41.99323999999999,4.646940027017119,A | ~E,41.99323999999999,4.646940027017119
ImageScoring_v14,6,0.25,0.0,False,29.2556,5.416319810139934,(A & E) | (~A & ~E) | (~E & ~R),29.2556,5.416319810139934
ImageScoring_v14,6,0.25,0.1,False,19.82058,6.097366290222595,(A & E) | (~A & ~E) | (~E & ~R),19.82058,6.097366290222595
ImageScoring_v14,6,0.25,0.2,False,9.46548,3.336803298771727,(A & E) | (~A & ~E) | (~E & ~R),9.46548,3.336803298771727
ImageScoring_v14,6,0.25,0.3,False,6.25894,1.0656288631026989,(A & E) | (~A & ~E) | (~E & ~R),6.25894,1.0656288631026989
ImageScoring_v14,6,0.25,0.4,False,5.76154,0.7053463821240669,(A & E) | (~A & ~E) | (~E & ~R),5.76154,0.7053463821240669
ImageScoring_v14,6,0.25,0.5,False,5.66702,0.6306299891896248,(A & E) | (~A & ~E) | (~E & ~R),5.66702,0.6306299891896248
ImageScoring_v14,6,0.25,0.6,False,5.985040000000001,0.9553246901831178,(A & E) | (~A & ~E) | (~E & ~R),5.985040000000001,0.9553246901831178
ImageScoring_v14,6,0.25,0.7,False,15.71804,3.837830424304112,(A & E) | (~A & ~E) | (~E & ~R),15.71804,3.837830424304112
ImageScoring_v14,6,0.25,0.8,False,22.32554,3.137574997623848,(A & E) | (~A & ~E) | (~E & ~R),22.32554,3.137574997623848
ImageScoring_v14,6,0.25,0.9,False,24.746280000000002,2.790297424275478,(A & E) | (~A & ~E) | (~E & ~R),24.746280000000002,2.790297424275478
ImageScoring_v14,6,0.25,1.0,False,25.16162,2.8411558577021263,(A & E) | (~A & ~E) | (~E & ~R),25.16162,2.8411558577021263
ImageScoring_v15,6,0.25,0.0,False,30.44614,5.727533853346001,(A & E) | (R & ~E) | (~A & ~E),30.44614,5.727533853346001
ImageScoring_v15,6,0.25,0.1,False,24.028530612244897,8.223588860968896,(A & E) | (R & ~E) | (~A & ~E),24.028530612244897,8.223588860968896
ImageScoring_v15,6,0.25,0.2,False,14.38268,8.669660569209508,(A & E) | (R & ~E) | (~A & ~E),14.38268,8.669660569209508
ImageScoring_v15,6,0.25,0.3,False,10.44894,6.990212923124175,(A & E) | (R & ~E) | (~A & ~E),10.44894,6.990212923124175
ImageScoring_v15,6,0.25,0.4,False,8.86454,6.613036396082994,(A & E) | (R & ~E) | (~A & ~E),8.86454,6.613036396082994
ImageScoring_v15,6,0.25,0.5,False,7.90648,6.245880053479171,(A & E) | (R & ~E) | (~A & ~E),7.90648,6.245880053479171
ImageScoring_v15,6,0.25,0.6,False,9.78622,7.473907554571818,(A & E) | (R & ~E) | (~A & ~E),9.78622,7.473907554571818
ImageScoring_v15,6,0.25,0.7,False,37.42078,10.195329323363552,(A & E) | (R & ~E) | (~A & ~E),37.42078,10.195329323363552
ImageScoring_v15,6,0.25,0.8,False,46.80824,5.408933489353044,(A & E) | (R & ~E) | (~A & ~E),46.80824,5.408933489353044
ImageScoring_v15,6,0.25,0.9,False,44.883019999999995,4.3166036464341,(A & E) | (R & ~E) | (~A & ~E),44.883019999999995,4.3166036464341
ImageScoring_v15,6,0.25,1.0,False,42.78424,3.601371890300264,(A & E) | (R & ~E) | (~A & ~E),42.78424,3.601371890300264
