gamma_center,DNF_literals,mean_coop,sd_coop,n,lower,upper
0.2,2,53.38532,13.70392146682765,1,39.68139853317235,67.08924146682764
0.2,3,56.74401999999999,22.670671545895562,3,34.07334845410443,79.41469154589555
0.2,4,72.76919333333333,22.328624399932117,3,50.44056893340122,95.09781773326546
0.2,5,52.24097,26.412792357306746,2,25.82817764269325,78.65376235730675
0.2,6,60.768004,22.76418659670541,5,38.00381740329459,83.5321905967054
0.2,7,66.30386,30.553902132307297,1,35.7499578676927,96.8577621323073
0.2,9,59.38644,32.26321034873205,1,27.12322965126795,91.64965034873205
