gamma_center,DNF_literals,mean_coop,sd_coop,n,lower,upper
0.2,2,4.4156,0.1529057332649961,1,4.2626942667350045,4.568505733264996
0.2,3,34.78869,38.542986820750485,2,-3.7542968207504828,73.33167682075049
0.2,4,40.664965,37.13431795988049,4,3.5306470401195114,77.79928295988049
0.2,5,45.6845,27.318867791437484,3,18.365632208562516,73.00336779143748
0.2,6,16.373685000000002,15.739255600250768,4,0.6344293997492336,32.11294060025077
0.2,7,29.75116,20.211524283225856,1,9.539635716774143,49.962684283225855
0.2,9,8.55128,2.480763115310632,1,6.0705168846893685,11.032043115310632
