gamma_center,DNF_literals,mean_coop,sd_coop,n,lower,upper
1.0,2,4.41464,0.199364066522551,1,4.215275933477449,4.6140040665225515
1.0,3,34.04786,30.59643230440405,2,3.4514276955959495,64.64429230440405
1.0,4,45.219655,30.913322353812585,4,14.306332646187418,76.13297735381259
1.0,5,57.0301,25.920171855463817,3,31.10992814453618,82.95027185546381
1.0,6,12.682065,8.79243445177265,4,3.88963054822735,21.47449945177265
1.0,7,54.1737,10.983616062395956,1,43.190083937604044,65.15731606239595
1.0,9,6.58972,1.8324043538254233,1,4.757315646174576,8.422124353825422
