gamma_center,DNF_literals,mean_coop,sd_coop,n,lower,upper
0.3,2,4.40548,0.16382808809535557,1,4.241651911904644,4.569308088095355
0.3,3,31.02983,38.4444191042567,2,-7.414589104256702,69.4742491042567
0.3,4,46.513725,36.145137521270165,4,10.368587478729836,82.65886252127017
0.3,5,44.8842,31.331692046713155,3,13.552507953286845,76.21589204671315
0.3,6,23.343020000000003,16.78009863710446,4,6.562921362895544,40.12311863710446
0.3,7,25.4333,21.216293228006034,1,4.217006771993965,46.64959322800603
0.3,9,14.92824,4.819666753489693,1,10.108573246510307,19.747906753489694
