gamma_center,DNF_literals,mean_coop,sd_coop,n,lower,upper
0.8,2,57.11584,15.810278464237584,1,41.305561535762415,72.92611846423759
0.8,3,40.69713333333333,30.252302198637274,3,10.44483113469606,70.94943553197061
0.8,4,84.23996666666667,13.067390375038414,3,71.17257629162826,97.30735704170509
0.8,5,6.66245,3.1282955903343046,2,3.534154409665695,9.790745590334303
0.8,6,35.781508,34.91187110071512,5,0.8696368992848846,70.69337910071512
0.8,7,5.49444,0.4189723170437153,1,5.075467682956285,5.913412317043715
0.8,9,5.3314200000000005,0.29493168285387805,1,5.036488317146122,5.626351682853879
