"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.0,37.745,0.0,0.5333,0.1333,0.3333,0.87,0.13
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.0,36.042,0.0,0.1333,0.1333,0.7333,0.73,0.27
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.0,17.206,0.0333,0.0,0.0333,0.9333,0.07,0.93
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.0,34.674,0.3667,0.2333,0.0,0.4,0.6,0.4
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.0,18.837,0.0333,0.0333,0.0,0.9333,0.93,0.07
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.25,21.7,0.0,0.0,0.0667,0.9333,0.07,0.93
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.25,12.417,0.0,0.0333,0.0333,0.9333,0.97,0.03
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.25,37.909,0.0,0.1,0.1,0.8,0.1,0.9
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.25,20.962,0.0,0.1,0.0667,0.8333,0.17,0.83
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.25,37.678,0.0333,0.0,0.0667,0.9,0.1,0.9
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.5,21.488,0.0,0.0333,0.1333,0.8333,0.83,0.17
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.5,18.101,0.0333,0.2,0.0,0.7667,0.2,0.8
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.5,23.058,0.0,0.0,0.0,1.0,0.03,0.97
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.5,38.877,0.7333,0.2333,0.0,0.0333,0.73,0.27
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.5,11.262,0.0,0.0333,0.0,0.9667,0.03,0.97
"[[0, 0], [1, 1]]","[[(0, 0), (0, 1)], [(1, 1), (1, 1)]]",30,250,1.0,0.01,0.01,0.0,5,1,1.0,250,12,0.0,1.0,0.0,0.75,9.452,0.0,0.0667,0.0333,0.9,0.1,0.9
