8bit_vector,DNF,DNF_literals,Emotion_Leniency
01111000,(E & ~A) | (R & ~A) | (A & ~E & ~R),7,0.5
01111001,(E & R) | (E & ~A) | (R & ~A) | (A & ~E & ~R),9,0.25
01111010,(A & ~E) | (E & ~A) | (R & ~A),6,0.25
01111011,R | (A & ~E) | (E & ~A),5,0.5
01111100,(A & ~R) | (E & ~A) | (R & ~A),6,0.75
01111101,E | (A & ~R) | (R & ~A),5,0.5
01111110,(A & ~E) | (E & ~R) | (R & ~A),6,0.5
01111111,A | E | R,3,0.75
10000000,~A & ~E & ~R,3,0.75
10000001,(A & E & R) | (~A & ~E & ~R),6,0.5
10000010,(A & R & ~E) | (~A & ~E & ~R),6,0.5
10000011,(A & R) | (~A & ~E & ~R),5,0.75
10000100,(A & E & ~R) | (~A & ~E & ~R),6,0.5
10000101,(A & E) | (~A & ~E & ~R),5,0.25
10000110,(A & E & ~R) | (A & R & ~E) | (~A & ~E & ~R),9,0.25
10000111,(A & E) | (A & R) | (~A & ~E & ~R),7,0.5
10001000,~E & ~R,2,0.5
10001001,(A & E & R) | (~E & ~R),5,0.25
10001010,(A & ~E) | (~E & ~R),4,0.25
10001011,(A & R) | (~E & ~R),4,0.5
10001100,(A & ~R) | (~E & ~R),4,0.75
10001101,(A & E) | (~E & ~R),4,0.5
10001110,(A & ~E) | (A & ~R) | (~E & ~R),6,0.5
10001111,A | (~E & ~R),3,0.75
10010000,(E & R & ~A) | (~A & ~E & ~R),6,0.5
10010001,(E & R) | (~A & ~E & ~R),5,0.25
10010010,(A & R & ~E) | (E & R & ~A) | (~A & ~E & ~R),9,0.25
10010011,(A & R) | (E & R) | (~A & ~E & ~R),7,0.5
10010100,(A & E & ~R) | (E & R & ~A) | (~A & ~E & ~R),9,0.25
10010101,(A & E) | (E & R) | (~A & ~E & ~R),7,0.0
10010110,(A & E & ~R) | (A & R & ~E) | (E & R & ~A) | (~A & ~E & ~R),12,0.0
10010111,(A & E) | (A & R) | (E & R) | (~A & ~E & ~R),9,0.25
10011000,(~E & ~R) | (E & R & ~A),5,0.25
10011001,(E & R) | (~E & ~R),4,0.0
10011010,(A & ~E) | (~E & ~R) | (E & R & ~A),7,0.0
10011011,(E & R) | (A & ~E) | (~E & ~R),6,0.25
10011100,(A & ~R) | (~E & ~R) | (E & R & ~A),7,0.5
10011101,(E & R) | (A & ~R) | (~E & ~R),6,0.25
10011110,(A & ~E) | (A & ~R) | (~E & ~R) | (E & R & ~A),9,0.25
10011111,A | (E & R) | (~E & ~R),5,0.5
10100000,~A & ~E,2,0.5
10100001,(A & E & R) | (~A & ~E),5,0.25
10100010,(R & ~E) | (~A & ~E),4,0.25
10100011,(A & R) | (~A & ~E),4,0.5
10100100,(~A & ~E) | (A & E & ~R),5,0.25
10100101,(A & E) | (~A & ~E),4,0.0
10100110,(R & ~E) | (~A & ~E) | (A & E & ~R),7,0.0
10100111,(A & E) | (R & ~E) | (~A & ~E),6,0.25
10101000,(~A & ~E) | (~E & ~R),4,0.25
10101001,(A & E & R) | (~A & ~E) | (~E & ~R),7,0.0
10101010,~E,1,0.0
10101011,~E | (A & R),3,0.25
10101100,(A & ~R) | (~A & ~E),4,0.5
10101101,(A & E) | (~A & ~E) | (~E & ~R),6,0.25
10101110,~E | (A & ~R),3,0.25
10101111,A | ~E,2,0.5
10110000,(R & ~A) | (~A & ~E),4,0.75
10110001,(E & R) | (~A & ~E),4,0.5
10110010,(R & ~A) | (R & ~E) | (~A & ~E),6,0.5
10110011,R | (~A & ~E),3,0.75
10110100,(R & ~A) | (~A & ~E) | (A & E & ~R),7,0.5
10110101,(A & E) | (R & ~A) | (~A & ~E),6,0.25
10110110,(R & ~A) | (R & ~E) | (~A & ~E) | (A & E & ~R),9,0.25
10110111,R | (A & E) | (~A & ~E),5,0.5
10111000,(R & ~A) | (~E & ~R),4,0.5
10111001,(E & R) | (~A & ~E) | (~E & ~R),6,0.25
10111010,~E | (R & ~A),3,0.25
10111011,R | ~E,2,0.5
10111100,(A & ~R) | (R & ~A) | (~A & ~E),6,0.75
10111101,(E & R) | (A & ~R) | (~A & ~E),6,0.5
10111110,~E | (A & ~R) | (R & ~A),5,0.5
10111111,A | R | ~E,3,0.75
11000000,~A & ~R,2,1.0
11000001,(A & E & R) | (~A & ~R),5,0.75
11000010,(~A & ~R) | (A & R & ~E),5,0.75
11000011,(A & R) | (~A & ~R),4,1.0
11000100,(E & ~R) | (~A & ~R),4,0.75
11000101,(A & E) | (~A & ~R),4,0.5
