norm,variant_id,4bit orig,8bit vector,DBmean,DBnice,DGmean,DGnice,CBmean,CBnice,CGmean,CGnice,DNF,Emotio  Leniency,DNF_literals,Gamma,,,,,,,,,,,Sparkline,DIFFERENCES TO BASELINE,,,,,,,,,,
,Image_Scoring_v2,0011,00001101,0,0,0,0,1,1,0,1,(A & E) | (A & ~R),0.75,4,31.10602,30.09462,28.270673,27.0359,22.54298,21.7211,21.55548,21.24706,19.40556,19.5976,19.94552,,2.20588,-0.37882,-1.260167,-2.84164,-7.33848,-7.18856,-9.32192,-8.88962,-11.79942,-9.82724,-10.6315
,Image_Scoring_v3,0011,00000111,0,0,0,0,0,1,1,1,(A & E) | (A & R),0.75,4,28.79948,31.09738,34.11798,35.016959,35.665429,34.983625,37.6889,36.950837,35.28786,35.10696,34.69164,,-0.10066,0.62394,4.58714,5.139419,5.783969,6.073965,6.8115,6.814157,4.08288,5.68212,4.11462
,Image_Scoring_v5,0011,00011111,0,0,0,1,1,1,1,1,A | (E & R),0.75,3,31.33722,27.28202,24.99132,20.0302,15.93214,12.72364,10.22346,8.87754,7.87862,6.6817,7.11774,,2.43708,-3.19142,-4.53952,-9.84734,-13.94932,-16.18602,-20.65394,-21.25914,-23.32636,-22.74314,-23.45928
,Image_Scoring_v9,0011,01001111,0,1,0,0,1,1,1,1,A | (E & ~R),0.75,3,29.570872,27.14894,21.99286,16.36062,15.286041,15.671082,19.13902,17.909792,23.73218,26.71,26.081286,,0.670732,-3.3245,-7.53798,-13.51692,-14.595419,-13.238578,-11.73838,-12.226888,-7.4728,-2.71484,-4.495734
,Image_Scoring_v4,0011,00000101,0,0,0,0,0,1,0,1,A & E,0.5,2,29.10144,27.98054,28.67298,28.75144,28.01266,26.9764,25.24346,26.2092,25.75754,24.68198,26.18748,,0.2013,-2.4929,-0.85786,-1.1261,-1.8688,-1.93326,-5.63394,-3.92748,-5.44744,-4.74286,-4.38954
,Image_Scoring_v6,0011,00011101,0,0,0,1,1,1,0,1,(E & R) | (A & ~R),0.5,4,30.1816,24.55798,21.075792,18.3429,12.82358,11.644551,9.28842,7.93484,7.68786,7.43596,7.37258,,1.28146,-5.91546,-8.455048,-11.53464,-17.05788,-17.265109,-21.58898,-22.20184,-23.51712,-21.98888,-23.20444
,Image_Scoring_v7,0011,00010111,0,0,0,1,0,1,1,1,(A & E) | (A & R) | (E & R),0.5,6,31.47868,30.42448,25.825429,23.23646,20.0654,15.83754,11.07918,10.77948,8.8934,7.3538,7.00752,,2.57854,-0.04896,-3.705411,-6.64108,-9.81606,-13.07212,-19.79822,-19.3572,-22.31158,-22.07104,-23.5695
,Image_Scoring_v10,0011,01001101,0,1,0,0,1,1,0,1,(A & E) | (A & ~R) | (E & ~R),0.5,6,31.03036,34.23104,50.25644,51.7496,55.35586,62.09474,62.51762,60.68342,72.37048,66.17054,63.53478,,2.13022,3.7576,20.7256,21.87206,25.4744,33.18508,31.64022,30.54674,41.1655,36.7457,32.95776
,Image_Scoring_v11,0011,01000111,0,1,0,0,0,1,1,1,(A & R) | (E & ~R),0.5,4,29.5395,28.44802,25.68108,25.35956,34.72176,38.16476,48.58294,54.7585,73.80246,87.85434,90.10302,,0.63936,-2.02542,-3.84976,-4.51798,4.8403,9.2551,17.70554,24.62182,42.59748,58.4295,59.526
,Image_Scoring_v13,0011,01011111,0,1,0,1,1,1,1,1,A | E,0.5,2,30.07976,22.149633,13.90206,9.9212,9.60094,9.3976,13.10116,40.97966,43.99124,42.37526,41.13866,,1.17962,-8.323807,-15.62878,-19.95634,-20.28052,-19.51206,-17.77624,10.84298,12.78626,12.95042,10.56164
,Image_Scoring_v8,0011,00010101,0,0,0,1,0,1,0,1,(A & E) | (E & R),0.25,4,30.37316,27.33752,24.781163,21.38346,17.56762,13.30824,11.61132,10.62438,10.70074,8.27672,7.174098,,1.47302,-3.13592,-4.749677,-8.49408,-12.31384,-15.60142,-19.26608,-19.5123,-20.50424,-21.14812,-23.402922
,Image_Scoring_v12,0011,01000101,0,1,0,0,0,1,0,1,(A & E) | (E & ~R),0.25,4,30.33644,38.44102,49.6835,57.37852,61.41678,60.20428,61.8182,69.3667,69.53678,83.60812,82.89,,1.4363,7.96758,20.15266,27.50098,31.53532,31.29462,30.9408,39.23002,38.3318,54.18328,52.31298
,Image_Scoring_v14,0011,01011101,0,1,0,1,1,1,0,1,E | (A & ~R),0.25,3,31.134633,23.13318,36.70968,30.69808,40.01304,48.92984,36.64346,59.0305,62.095,55.32446,53.84062,,2.234493,-7.34026,7.17884,0.82054,10.13158,20.02018,5.76606,28.89382,30.89002,25.89962,23.2636
,Image_Scoring_v15,0011,01010111,0,1,0,1,0,1,1,1,E | (A & R),0.25,3,29.87104,24.41046,15.82708,16.40056,12.03712,15.2313,45.42064,58.13022,55.58044,60.08388,65.33002,,0.9709,-6.06298,-13.70376,-13.47698,-17.84434,-13.67836,14.54324,27.99354,24.37546,30.65904,34.753
,Image_Scoring_v16,0011,01010101,0,1,0,1,0,1,0,1,E,0,1,29.49238,32.3077,47.8889,43.82552,48.28186,36.77378,47.06666,77.94184,72.11314,66.79446,68.24152,,0.59224,1.83426,18.35806,13.94798,18.4004,7.86412,16.18926,47.80516,40.90816,37.36962,37.6645
SimpleStanding,Simple_Standing_v1,1011,11001111,1,1,0,0,1,1,1,1,A | ~R,1,2,50.71932,53.44512,55.6469,56.339721,55.2547,57.21394,55.60858,53.39706,56.29818,55.24656,55.91876,,,,,,,,,,,,
,Simple_Standing_v2,1011,11001101,1,1,0,0,1,1,0,1,~R | (A & E),0.75,3,56.49986,77.53608,76.72728,69.35656,59.21788,65.232558,65.03064,59.79826,57.30862,58.61864,53.03546,,5.78054,24.09096,21.08038,13.016839,3.96318,8.018618,9.42206,6.4012,1.01044,3.37208,-2.8833
,Simple_Standing_v3,1011,11000111,1,1,0,0,0,1,1,1,(A & R) | (E & ~R) | (~A & ~R),0.75,6,53.11352,55.13488,62.87934,61.16436,65.29108,67.99836,73.35856,72.969224,78.7709,86.29578,91.40402,,2.3942,1.68976,7.23244,4.824639,10.03638,10.78442,17.74998,19.572164,22.47272,31.04922,35.48526
,Simple_Standing_v5,1011,11011111,1,1,0,1,1,1,1,1,A | E | ~R,0.75,3,56.29658,50.11196,44.50304,35.429,42.7275,42.09702,41.3237,34.74516,27.98618,25.13654,22.61998,,5.57726,-3.33316,-11.14386,-20.910721,-12.5272,-15.11692,-14.28488,-18.6519,-28.312,-30.11002,-33.29878
,Simple_Standing_v9,1011,10001111,1,0,0,0,1,1,1,1,A | (~E & ~R),0.75,3,54.98516,54.35894,48.78444,42.3317,36.07356,40.956224,36.23386,33.15522,37.36498,27.0106,32.07358,,4.26584,0.91382,-6.86246,-14.008021,-19.18114,-16.257716,-19.37472,-20.24184,-18.9332,-28.23596,-23.84518
,Simple_Standing_v4,1011,11000101,1,1,0,0,0,1,0,1,(A & E) | (~A & ~R),0.5,4,54.421163,76.03856,70.749,73.09922,75.09088,69.86564,76.28708,77.29674,82.6672,85.89854,88.88568,,3.701843,22.59344,15.1021,16.759499,19.83618,12.6517,20.6785,23.89968,26.36902,30.65198,32.96692
,Simple_Standing_v6,1011,11011101,1,1,0,1,1,1,0,1,E | ~R,0.5,2,55.1053,68.6782,72.23786,64.56672,70.84058,77.4291,73.9068,75.22744,56.40424,38.379532,35.07646,,4.38598,15.23308,16.59096,8.226999,15.58588,20.21516,18.29822,21.83038,0.10606,-16.867028,-20.8423
,Simple_Standing_v7,1011,11010111,1,1,0,1,0,1,1,1,E | (A & R) | (~A & ~R),0.5,5,53.84778,50.41064,49.29054,55.8615,62.2282,62.78688,63.35896,69.81038,73.64792,83.470395,89.64576,,3.12846,-3.03448,-6.35636,-0.478221,6.9735,5.57294,7.75038,16.41332,17.34974,28.223835,33.727
,Simple_Standing_v10,1011,10001101,1,0,0,0,1,1,0,1,(A & E) | (~E & ~R),0.5,4,58.60916,78.67516,72.59732,69.5188,58.04382,36.866735,28.95082,10.82468,6.10504,5.78886,5.70662,,7.88984,25.23004,16.95042,13.179079,2.78912,-20.347205,-26.65776,-42.57238,-50.19314,-49.4577,-50.21214
,Simple_Standing_v11,1011,10000111,1,0,0,0,0,1,1,1,(A & E) | (A & R) | (~A & ~E & ~R),0.5,7,49.49204,57.88586,60.020075,57.91858,52.98328,48.45966,52.91592,43.68166,46.96632,47.41128,37.4608,,-1.22728,4.44074,4.373175,1.578859,-2.27142,-8.75428,-2.69266,-9.7154,-9.33186,-7.83528,-18.45796
,Simple_Standing_v13,1011,10011111,1,0,0,1,1,1,1,1,A | (E & R) | (~E & ~R),0.5,5,55.11196,50.25622,41.81642,32.70704,26.30468,16.19734,9.86366,5.99496,5.59348,5.39062,5.325102,,4.39264,-3.1889,-13.83048,-23.632681,-28.95002,-41.0166,-45.74492,-47.4021,-50.7047,-49.85594,-50.593658
,Simple_Standing_v8,1011,11010101,1,1,0,1,0,1,0,1,E | (~A & ~R),0.25,3,57.42508,74.8787,65.218122,72.9542,73.37074,75.20216,73.6852,75.76048,76.92516,82.1916,86.42412,,6.70576,21.43358,9.571222,16.614479,18.11604,17.98822,18.07662,22.36342,20.62698,26.94504,30.50536
,Simple_Standing_v12,1011,10000101,1,0,0,0,0,1,0,1,(A & E) | (~A & ~E & ~R),0.25,5,52.518673,79.85122,72.39198,62.39624,49.63802,40.2277,22.35332,13.03046,8.458327,6.79022,5.67758,,1.799353,26.4061,16.74508,6.056519,-5.61668,-16.98624,-33.25526,-40.3666,-47.839853,-48.45634,-50.24118
,Simple_Standing_v14,1011,10011101,1,0,0,1,1,1,0,1,(E & R) | (A & ~R) | (~E & ~R),0.25,6,54.53206,78.59282,54.165,48.15992,35.00068,22.36468,14.79048,7.96934,5.365,5.4316,5.31274,,3.81274,25.1477,-1.4819,-8.179801,-20.25402,-34.84926,-40.8181,-45.42772,-50.93318,-49.81496,-50.60602
,Simple_Standing_v15,1011,10010111,1,0,0,1,0,1,1,1,(A & E) | (A & R) | (E & R) | (~A & ~E & ~R),0.25,9,52.937533,48.637561,45.27378,34.55008,29.81098,20.1678,12.39186,6.80776,5.60458,5.49452,5.345444,,2.218213,-4.807559,-10.37312,-21.789641,-25.44372,-37.04614,-43.21672,-46.5893,-50.6936,-49.75204,-50.573316
,Simple_Standing_v16,1011,10010101,1,0,0,1,0,1,0,1,(A & E) | (E & R) | (~A & ~E & ~R),0,7,50.43136,75.25312,65.0831,41.120636,28.15974,21.05798,12.67176,6.85274,5.79914,5.78898,5.314429,,-0.28796,21.808,9.4362,-15.219085,-27.09496,-36.15596,-42.93682,-46.54432,-50.49904,-49.45758,-50.604331
Shunning,Shunning_v1,0001,00000011,0,0,0,0,0,0,1,1,A & R,1,2,4.37888,4.38646,4.42274,4.4207,4.40782,4.377477,4.42726,4.46602,4.39128,4.40406,4.40802,,,,,,,,,,,,
,Shunning_v2,0001,00000001,0,0,0,0,0,0,0,1,A & E & R,0.75,3,4.42426,4.41728,4.3965,4.45712,4.402109,4.399102,4.41062,4.43264,4.4217,4.44764,4.3975,,0.04538,0.03082,-0.02624,0.03642,-0.005711,0.021625,-0.01664,-0.03338,0.03042,0.04358,-0.01052
