norm,norm_desc,variant_id,4bit_orig,8bit_vector,DB_mean,DB_nice,DG_mean,DG_nice,CB_mean,CB_nice,CG_mean,CG_nice,Emotion_Leniency,expanded_original_B
SimpleStanding,Defecting towards good people is bad; defecting against bad is good; cooperating mostly good.,SimpleStanding_v14,1011,1101101,0,1,1,0,1,1,0,1,0.25,TRUE
SimpleStanding,Defecting towards good people is bad; defecting against bad is good; cooperating mostly good.,SimpleStanding_v15,1011,1100111,0,1,1,0,0,1,1,1,0.25,TRUE
SimpleStanding,Defecting towards good people is bad; defecting against bad is good; cooperating mostly good.,SimpleStanding_v16,1011,1100101,0,1,1,0,0,1,0,1,0,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v1,1001,11000011,1,1,0,0,0,0,1,1,1,FALSE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v2,1001,11000001,1,1,0,0,0,0,0,1,0.75,FALSE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v3,1001,11001011,1,1,0,0,1,0,1,1,0.75,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v4,1001,11001001,1,1,0,0,1,0,0,1,0.5,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v5,1001,11100011,1,1,1,0,0,0,1,1,0.75,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v6,1001,11100001,1,1,1,0,0,0,0,1,0.5,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v7,1001,11101011,1,1,1,0,1,0,1,1,0.5,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v8,1001,11101001,1,1,1,0,1,0,0,1,0.25,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v9,1001,1000011,0,1,0,0,0,0,1,1,0.75,FALSE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v10,1001,1000001,0,1,0,0,0,0,0,1,0.5,FALSE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v11,1001,1001011,0,1,0,0,1,0,1,1,0.5,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v12,1001,1001001,0,1,0,0,1,0,0,1,0.25,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v13,1001,1100011,0,1,1,0,0,0,1,1,0.5,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v14,1001,1100001,0,1,1,0,0,0,0,1,0.25,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v15,1001,1101011,0,1,1,0,1,0,1,1,0.25,TRUE
SternJudging,Cooperating with good people and defecting against bad people yield good reputations.,SternJudging_v16,1001,1101001,0,1,1,0,1,0,0,1,0,TRUE
