base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.985,1.0,0.525,0.05,0.2,0.05,0.7,0.7,0.3
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.6,1.0,0.525,0.0,0.025,0.075,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.43,1.0,0.525,0.0,0.025,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.644,1.0,0.525,0.0,0.1,0.025,0.875,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.972,1.0,0.525,0.0,0.0,0.0,1.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.806,0.142,0.45,0.0,0.0,0.075,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.378,0.102,0.475,0.0,0.0,0.075,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.671,0.125,0.325,0.0,0.075,0.0,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.928,0.12,0.45,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.959,0.138,0.425,0.05,0.025,0.05,0.875,0.88,0.12
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.049,0.118,0.475,0.05,0.025,0.0,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.336,0.113,0.4,0.0,0.0,0.1,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.381,0.133,0.575,0.0,0.15,0.0,0.85,0.15,0.85
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.066,0.107,0.325,0.0,0.025,0.0,0.975,0.03,0.97
