base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.379,0.42,0.22,0.0,0.84,0.1,0.0,0.01,0.0,0.05,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.604,0.154,0.42,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.363,0.201,0.28,0.0,0.88,0.02,0.0,0.1,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.383,0.192,0.73,0.94,0.0,0.0,0.05,0.01,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.364,0.53,0.32,0.85,0.0,0.0,0.09,0.0,0.04,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.325,0.211,0.17,0.0,0.95,0.01,0.0,0.03,0.0,0.01,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.35,0.376,0.5,0.0,0.9,0.07,0.0,0.02,0.0,0.01,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.112,0.317,0.19,0.0,0.91,0.05,0.0,0.04,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.149,0.168,0.4,0.94,0.0,0.0,0.04,0.0,0.01,0.0,0.01
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.357,0.238,0.48,0.0,0.95,0.0,0.0,0.03,0.0,0.01,0.01
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.491,0.281,0.23,0.97,0.0,0.0,0.01,0.0,0.02,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,31.601,0.916,0.96,0.01,0.01,0.0,0.93,0.0,0.0,0.05,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.257,0.162,0.48,0.0,0.93,0.04,0.0,0.02,0.0,0.01,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,44.145,0.928,0.97,0.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,5.302,0.239,0.15,0.0,0.97,0.01,0.0,0.01,0.0,0.01,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,43.296,0.899,0.05,0.0,0.02,0.0,0.0,0.84,0.0,0.0,0.14
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,45.771,0.914,0.91,0.0,0.01,0.0,0.95,0.0,0.0,0.04,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,26.727,0.914,0.07,0.0,0.01,0.0,0.02,0.96,0.0,0.0,0.01
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,89.611,0.923,0.04,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,89.702,0.924,0.01,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,89.683,0.911,0.96,0.0,0.0,0.0,0.96,0.0,0.0,0.04,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,89.61,0.905,0.05,0.0,0.01,0.0,0.01,0.89,0.0,0.0,0.09
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,89.66,0.902,0.05,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,89.679,0.9,0.92,0.02,0.0,0.0,0.96,0.0,0.0,0.02,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",100,4000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1000,0.0,1.0,0.0,1.0,89.667,0.893,0.92,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0
