base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,57.546,0.915,0.1,0.0,0.02,0.0,0.0,0.98,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,85.053,0.91,0.06,0.0,0.02,0.0,0.02,0.96,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,87.148,0.871,0.2,0.0,0.04,0.0,0.02,0.9,0.0,0.0,0.04
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,87.142,0.909,0.12,0.0,0.02,0.0,0.0,0.98,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,87.119,0.908,0.12,0.0,0.04,0.0,0.0,0.94,0.0,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,87.201,0.918,0.84,0.02,0.06,0.0,0.84,0.02,0.0,0.06,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,87.049,0.922,0.92,0.02,0.0,0.0,0.94,0.02,0.0,0.02,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,83.291,0.886,0.1,0.0,0.02,0.0,0.0,0.94,0.0,0.0,0.04
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,87.098,0.932,0.06,0.0,0.04,0.0,0.0,0.92,0.0,0.0,0.04
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,87.163,0.902,0.06,0.0,0.02,0.0,0.02,0.9,0.0,0.0,0.06
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,86.924,0.925,0.06,0.0,0.02,0.0,0.0,0.96,0.0,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,87.349,0.874,0.88,0.04,0.0,0.0,0.88,0.0,0.0,0.08,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,87.301,0.927,1.0,0.0,0.0,0.0,0.92,0.0,0.0,0.08,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,83.875,0.941,0.08,0.02,0.0,0.0,0.02,0.9,0.0,0.0,0.06
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,87.21,0.928,0.06,0.0,0.0,0.0,0.02,0.96,0.0,0.0,0.02
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",50,2000,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,500,0.0,1.0,0.0,1.0,87.285,0.914,0.94,0.02,0.0,0.0,0.92,0.02,0.0,0.04,0.0
