base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,non_consensus_strategy,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.962,1.0,0.4,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.414,1.0,0.4,0.025,0.0,0.05,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.047,1.0,0.4,0.05,0.0,0.1,0.85,0.85,0.15
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.826,1.0,0.4,0.0,0.1,0.0,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.638,1.0,0.4,0.025,0.0,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.906,1.0,0.4,0.05,0.0,0.0,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.427,1.0,0.4,0.0,0.025,0.05,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.863,1.0,0.4,0.05,0.225,0.0,0.725,0.28,0.72
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.055,1.0,0.4,0.0,0.0,0.075,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.988,1.0,0.4,0.05,0.05,0.0,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.605,1.0,0.4,0.0,0.0,0.0,1.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.968,1.0,0.4,0.05,0.25,0.025,0.675,0.72,0.28
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.528,1.0,0.4,0.025,0.025,0.25,0.7,0.7,0.3
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.089,1.0,0.4,0.0,0.0,0.1,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.037,1.0,0.4,0.05,0.0,0.0,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.22,0.133,0.5,0.0,0.025,0.025,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.0,action,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.853,0.155,0.55,0.025,0.0,0.075,0.9,0.9,0.1
