base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,xi,non_consensus_strategy,b,c,beta,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,AllD_Comp,AllD_Coop,Disc_Comp,Disc_Coop,pDisc_Comp,pDisc_Coop,AllC_Comp,AllC_Coop
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.782,0.448,0.4,0.9455,0.0,0.0,0.0091,0.0,0.0273,0.0091,0.0091
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.895,0.244,0.618,0.0,0.9727,0.0,0.0,0.0273,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.805,0.24,0.382,0.8818,0.0,0.0,0.0818,0.0,0.0182,0.0,0.0182
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.773,0.153,0.755,0.9636,0.0,0.0,0.0364,0.0,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.899,0.4,0.645,0.0,0.8182,0.0818,0.0,0.0727,0.0,0.0273,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,5.029,0.414,0.291,0.9182,0.0,0.0,0.0455,0.0,0.0182,0.0,0.0182
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.823,0.248,0.155,0.9636,0.0,0.0,0.0091,0.0,0.0091,0.0,0.0182
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.902,0.177,0.645,0.9455,0.0,0.0,0.0091,0.0,0.0455,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.948,0.315,0.891,0.9182,0.0,0.0,0.0182,0.0,0.0364,0.0,0.0273
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.916,0.228,0.2,0.0,0.9364,0.0,0.0,0.0545,0.0,0.0091,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.92,0.19,0.5,0.0,0.9364,0.0273,0.0,0.0364,0.0,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.908,0.127,0.682,0.9545,0.0,0.0,0.0182,0.0,0.0273,0.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.918,0.188,0.491,0.0,0.9636,0.0182,0.0,0.0091,0.0,0.0091,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.991,0.186,0.327,0.0,0.9273,0.0,0.0,0.0455,0.0,0.0273,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,5.145,0.169,0.327,0.0,0.9455,0.0364,0.0,0.0091,0.0,0.0091,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.826,0.153,0.582,0.9545,0.0,0.0,0.0091,0.0,0.0273,0.0,0.0091
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,4.893,0.264,0.155,0.0,0.9182,0.0091,0.0,0.0273,0.0,0.0455,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,36.21,0.913,0.036,0.0,0.0,0.0,0.0091,0.9545,0.0,0.0,0.0364
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,62.47,0.918,0.073,0.0,0.0,0.0,0.0091,0.9818,0.0,0.0,0.0091
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,82.372,0.922,0.964,0.0,0.0,0.0,0.9273,0.0182,0.0,0.0545,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,89.838,0.907,0.927,0.0091,0.0,0.0,0.9727,0.0091,0.0,0.0091,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,74.016,0.899,0.091,0.0,0.0182,0.0,0.0,0.9545,0.0,0.0,0.0273
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,89.906,0.874,0.855,0.0091,0.0,0.0,0.9455,0.0,0.0,0.0455,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,89.768,0.925,0.027,0.0,0.0,0.0,0.0091,0.9727,0.0,0.0,0.0182
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",110,4400,2.0,0.01,0.01,0.0,0.8,0.8,0.01,emotion,5,1,1.0,1100,0.0,1.0,0.0,1.0,89.923,0.904,0.064,0.0,0.0,0.0,0.0091,0.9727,0.0,0.0,0.0182
